"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 11 10:49:11 EAT 2021","Mon Jan 11 10:49:11 EAT 2021","258","","verify list of packages","","verify list of packages","verify list of packages","verify list of packages",""
"passed","Mon Jan 11 10:48:54 EAT 2021","Mon Jan 11 10:49:11 EAT 2021","16852","","verify list of packages","","verify list of packages","verify navigation to packages page","verify navigation to packages page",""
